ONS_ID,name,number_of_people_who_identify_with_a_religion,number_buddhists,number_christians,number_hindus,number_jewish,number_muslims,number_sikhs,number_traditional_north_american_indigenous_spirituality,number_other_religions_and_spiritual_traditions,number_no_religion_and_secular_perspectives,percent_of_people_who_identify_with_a_religion,percent_buddhists,percent_christians,percent_hindus,percent_jewish,percent_muslims,percent_sikhs,percent_traditional_north_american_indigenous_spirituality,percent_other_religions_and_spiritual_traditions,percent_no_religion_and_secular_perspectives,number_of_people_0_5_in_low_income_based_on_lim_at,percent_of_people_0_5_in_low_income_based_on_lim_at,gini_index_on_adjusted_household_after_tax_income,number_of_people_with_english_as_a_language_most_spoken_at_home,percent_of_people_with_english_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_both_english_and_french,percent_of_people_with_knowledge_of_both_english_and_french,number_of_children_under_18_years_eligible_for_instruction_in_the_minority_official_language,percent_of_children_under_18_years_eligible_for_instruction_in_the_minority_official_language,number_of_commuters_aged_15_leaving_for_work_between_5_a_m_and_5_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_6_a_m_and_6_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_7_a_m_and_7_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_8_a_m_and_8_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_9_a_m_and_11_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_12_p_m_and_4_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_5_a_m_and_5_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_6_a_m_and_6_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_7_a_m_and_7_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_8_a_m_and_8_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_9_a_m_and_11_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_12_p_m_and_4_59_a_m,number_of_commuters_aged_15_who_commute_for_less_than_15_minutes,number_of_commuters_aged_15_who_commute_for_15_to_29_minutes,number_of_commuters_aged_15_who_commute_for_30_to_44_minutes,number_of_commuters_aged_15_who_commute_for_45_to_59_minutes,number_of_commuters_aged_15_who_commute_for_60_minutes_and_over,percent_of_commuters_aged_15_who_commute_for_less_than_15_minutes,percent_of_commuters_aged_15_who_commute_for_15_to_29_minutes,percent_of_commuters_aged_15_who_commute_for_30_to_44_minutes,percent_of_commuters_aged_15_who_commute_for_45_to_59_minutes,percent_of_commuters_aged_15_who_commute_for_60_minutes_and_over,number_of_commuters_aged_15_who_commute_within_ottawa,number_of_commuters_aged_15_who_commute_outside_of_ottawa_in_ontario,number_of_commuters_aged_15_who_commute_to_a_different_province_territory,percent_of_commuters_aged_15_who_commute_within_ottawa,percent_of_commuters_aged_15_who_commute_outside_of_ottawa_in_ontario,percent_of_commuters_aged_15_who_commute_to_a_different_province_territory,number_of_people_aged_25_64_with_no_high_school_diploma_or_equivalent,number_of_people_aged_25_64_with_a_high_school_diploma_or_equivalent,number_of_people_aged_25_64_with_a_postsecondary_certificate_diploma_or_degree,number_of_people_aged_25_64_with_an_apprencticeship_or_trades_certificate,number_of_people_aged_25_64_with_a_college_cegep_or_other_non_university_certificate_diploma,number_of_people_aged_25_64_with_a_university_certificate_below_bachelor_level,number_of_people_aged_25_64_with_a_bachelors_degree_or_higher,number_of_people_aged_25_64_with_a_bachelors_degree,number_of_people_aged_25_64_with_a_masters_degree,number_of_people_aged_25_64_with_a_doctorate,percent_of_people_aged_25_64_with_no_high_school_diploma_or_equivalent,percent_of_people_aged_25_64_with_a_high_school_diploma_or_equivalent,percent_of_people_aged_25_64_with_a_postsecondary_certificate_diploma_or_degree,percent_of_people_aged_25_64_with_an_apprencticeship_or_trades_certificate,percent_of_people_aged_25_64_with_a_college_cegep_or_other_non_university_certificate_diploma,percent_of_people_aged_25_64_with_a_university_certificate_below_bachelor_level,percent_of_people_aged_25_64_with_a_bachelors_degree_or_higher,percent_of_people_aged_25_64_with_a_bachelors_degree,percent_of_people_aged_25_64_with_a_masters_degree,percent_of_people_aged_25_64_with_a_doctorate,number_of_households,number_of_multigenerational_households,percent_of_multigenerational_households,number_of_census_families,number_of_couple_families,number_of_couple_families_with_children,number_of_couple_families_without_children,percent_of_census_families,percent_of_couple_families,percent_of_couple_families_with_children,percent_of_couple_families_without_children,median_after_tax_income_of_households_in_2020,average_after_tax_income_of_households_in_2020,median_after_tax_income_of_one_person_households_in_2020,average_after_tax_income_of_one_person_households_in_2020,median_after_tax_income_of_two_or_more_person_households_in_2020,average_after_tax_income_of_two_or_more_person_households_in_2020,ONS_ID
0,census_division_ottawa_3506,684210,10800,528715,20300,10600,98920,6375,445,8055,316740,0.683560617,0.01078975,0.528213197,0.020280733,0.01058994,0.098826115,0.006368949,4.45E-04,0.008047355,0.316439383,7030,0.117637216,0.3,791650,0.790894696,365220,0.364871548,72285,0.350413263,14395,48330,71860,60390,37570,43155,0.05221255,0.175299238,0.260645629,0.219042437,0.136271309,0.156528836,74060,116265,55365,15975,14030,0.268625317,0.421708379,0.200816104,0.057943417,0.050888647,219175,7030,6420,0.942161372,0.030219662,0.027597472,35045,508270,417420,19905,117225,11355,268940,160030,75165,13550,0.064502176,0.935497824,0.768283592,0.036636206,0.215758814,0.020899478,0.494998297,0.294543681,0.138345159,0.024939492,407255,9890,0.024284539,275340,231175,121845,109325,1,0.839598315,0.442525605,0.397054551,88000,103000,47600,53100,109000,123000,3506
3001,airport_3001,170,0,170,0,0,0,0,0,0,85,0.586206897,0,0.586206897,0,0,0,0,0,0,0.293103448,0,NA,0.4,255,0.86440678,80,0.271186441,15,0.333333333,0,15,25,30,15,15,0,0.157894737,0.263157895,0.315789474,0.157894737,0.157894737,50,30,10,0,0,0.526315789,0.315789474,0.105263158,0,0,70,0,10,0.875,0,0.125,25,140,115,10,25,0,80,50,20,0,0.15625,0.875,0.71875,0.0625,0.15625,0,0.5,0.3125,0.125,0,125,0,0,105,80,30,50,1,0.761904762,0.285714286,0.476190476,95000,114000,NA,34000,121000,134000,3001
3002,alta_vista_3002,4975,55,4100,145,175,420,0,0,80,2790,0.639871383,0.007073955,0.52733119,0.018649518,0.022508039,0.054019293,0,0,0.010289389,0.358842444,0,0,0.3,6625,0.852638353,3810,0.49034749,695,0.437106918,65,200,465,595,330,165,0.03601108,0.110803324,0.257617729,0.329639889,0.182825485,0.091412742,615,855,245,50,35,0.340720222,0.473684211,0.135734072,0.027700831,0.019390582,1400,20,55,0.945945946,0.013513514,0.037162162,135,3850,3365,65,500,35,2765,1180,1045,190,0.033877039,0.966122961,0.844416562,0.016311167,0.125470514,0.008782936,0.693851945,0.296110414,0.262233375,0.047678795,3060,65,0.02124183,2285,2055,1025,1035,1,0.899343545,0.448577681,0.452954048,115000,131200,54400,40500,139000,156000,3002
3003,bayshore_3003,10900,255,5400,1180,50,3715,120,0,180,3360,0.764643985,0.01788846,0.378814451,0.082777973,0.003507541,0.260610312,0.008418099,0,0.012627148,0.23570677,355,0.348039216,0.3,10035,0.703963522,2775,0.194668537,850,0.273311897,250,655,870,750,625,1050,0.059453032,0.155766944,0.206896552,0.178359096,0.14863258,0.249702735,960,1810,820,285,325,0.228299643,0.430439952,0.195005945,0.067776457,0.077288942,3335,55,50,0.969476744,0.015988372,0.014534884,975,6755,5195,265,1450,275,3205,1925,960,110,0.126131953,0.873868047,0.672056921,0.034282018,0.187580854,0.035575679,0.41461837,0.249029754,0.124191462,0.014230272,5725,160,0.027947598,3550,2575,1330,1245,1,0.725352113,0.374647887,0.350704225,64000,72700,42000,46560,78000,84700,3003
3004,beacon_hill_south_cardinal_heights_3004,5875,60,4800,90,25,815,15,0,70,1825,0.762987013,0.007792208,0.623376623,0.011688312,0.003246753,0.105844156,0.001948052,0,0.009090909,0.237012987,110,0.20952381,0.3,5000,0.649350649,3405,0.442207792,690,0.461538462,135,450,535,385,280,400,0.061784897,0.205949657,0.244851259,0.176201373,0.128146453,0.183066362,615,850,345,205,165,0.281464531,0.389016018,0.157894737,0.09382151,0.075514874,1695,40,60,0.944289694,0.022284123,0.033426184,455,3625,2755,150,985,105,1515,955,390,55,0.111519608,0.888480392,0.675245098,0.036764706,0.241421569,0.025735294,0.371323529,0.234068627,0.095588235,0.013480392,3220,75,0.023291925,2020,1570,785,790,1,0.777227723,0.388613861,0.391089109,73500,84000,46000,49300,91000,100100,3004
3005,beaverbrook_3005,4335,45,3555,185,30,435,10,0,75,2435,0.639852399,0.006642066,0.524723247,0.027306273,0.004428044,0.064206642,0.001476015,0,0.011070111,0.359409594,45,0.155172414,0.3,5775,0.851769912,1940,0.286135693,345,0.238754325,65,285,385,405,230,205,0.041533546,0.182108626,0.24600639,0.258785942,0.146964856,0.130990415,535,550,315,90,85,0.341853035,0.3514377,0.201277955,0.057507987,0.054313099,1240,55,0,0.953846154,0.042307692,0,150,3220,2640,95,770,65,1710,1035,475,65,0.044510386,0.955489614,0.783382789,0.028189911,0.228486647,0.019287834,0.507418398,0.307121662,0.140949555,0.019287834,2770,50,0.018050542,2005,1585,825,755,1,0.790523691,0.411471322,0.376558603,89000,101400,51200,57500,102000,116600,3005
3006,beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
3007,bells_corners_east_3007,3195,25,2795,50,0,305,0,0,20,1810,0.639,0.005,0.559,0.01,0,0.061,0,0,0.004,0.362,0,0,0.2,4615,0.922077922,1290,0.257742258,200,0.240963855,80,300,335,260,185,280,0.055555556,0.208333333,0.232638889,0.180555556,0.128472222,0.194444444,425,665,210,90,55,0.295138889,0.461805556,0.145833333,0.0625,0.038194444,1175,15,15,0.983263598,0.012552301,0.012552301,215,2525,2000,115,810,45,1035,690,235,45,0.078754579,0.924908425,0.732600733,0.042124542,0.296703297,0.016483516,0.379120879,0.252747253,0.086080586,0.016483516,2125,70,0.032941176,1475,1245,545,705,1,0.844067797,0.369491525,0.477966102,83000,92600,43600,49400,99000,109600,3007
3008,bells_corners_west_3008,2720,90,2200,30,15,340,0,0,45,1410,0.654632972,0.02166065,0.529482551,0.007220217,0.003610108,0.081829122,0,0,0.010830325,0.339350181,45,0.142857143,0.3,3600,0.866425993,960,0.231046931,185,0.255172414,75,330,415,220,165,210,0.053003534,0.233215548,0.293286219,0.155477032,0.116607774,0.148409894,330,670,240,80,95,0.233215548,0.473498233,0.169611307,0.056537102,0.067137809,1185,20,10,0.971311475,0.016393443,0.008196721,260,2115,1525,110,710,30,670,465,150,20,0.109473684,0.890526316,0.642105263,0.046315789,0.298947368,0.012631579,0.282105263,0.195789474,0.063157895,0.008421053,1820,70,0.038461538,1170,825,420,405,1,0.705128205,0.358974359,0.346153846,74000,81000,47200,49800,88000,96000,3008
3009,billings_bridge_heron_park_3009,3740,50,2855,125,65,540,30,10,65,2130,0.63713799,0.008517888,0.48637138,0.021294719,0.011073254,0.091993186,0.005110733,0.001703578,0.011073254,0.36286201,60,0.210526316,0.3,4720,0.804088586,1585,0.270017036,305,0.378881988,65,300,345,350,250,310,0.040123457,0.185185185,0.212962963,0.216049383,0.154320988,0.191358025,515,630,330,85,60,0.317901235,0.388888889,0.203703704,0.052469136,0.037037037,1295,20,20,0.973684211,0.015037594,0.015037594,275,2860,2355,110,660,65,1515,895,420,85,0.087719298,0.912280702,0.751196172,0.035087719,0.210526316,0.020733652,0.483253589,0.285486443,0.133971292,0.027113238,2975,40,0.013445378,1325,995,360,630,1,0.750943396,0.271698113,0.475471698,55200,67100,32000,39800,78500,87600,3009
3010,blackburn_hamlet_3010,5435,40,4815,60,50,350,25,0,95,2600,0.675995025,0.004975124,0.598880597,0.007462687,0.006218905,0.043532338,0.003109453,0,0.01181592,0.323383085,65,0.122641509,0.3,6625,0.824517735,3715,0.462352209,730,0.423188406,120,360,585,435,280,360,0.056074766,0.168224299,0.273364486,0.203271028,0.130841121,0.168224299,640,930,390,100,80,0.299065421,0.434579439,0.182242991,0.046728972,0.037383178,1765,40,40,0.954054054,0.021621622,0.021621622,325,3720,2950,205,960,75,1715,1040,500,90,0.080246914,0.918518519,0.728395062,0.050617284,0.237037037,0.018518519,0.42345679,0.256790123,0.12345679,0.022222222,3170,60,0.018927445,2385,1930,1000,930,1,0.809224319,0.419287212,0.389937107,90000,102000,54400,58700,106000,114400,3010
3011,blossom_park_timbermill_3011,7095,50,5030,65,35,1825,0,0,90,2200,0.763724435,0.005382131,0.541442411,0.006996771,0.003767492,0.196447793,0,0,0.009687836,0.236813778,85,0.153153153,0.3,7290,0.785137318,3235,0.348411416,770,0.352402746,110,510,740,650,370,480,0.038596491,0.178947368,0.259649123,0.228070175,0.129824561,0.168421053,800,1300,510,110,135,0.280701754,0.456140351,0.178947368,0.038596491,0.047368421,2265,40,60,0.957716702,0.016913319,0.025369979,505,4600,3470,225,1125,125,1995,1200,500,135,0.099019608,0.901960784,0.680392157,0.044117647,0.220588235,0.024509804,0.391176471,0.235294118,0.098039216,0.026470588,3230,120,0.037151703,2550,2035,1225,820,1,0.798039216,0.480392157,0.321568627,95000,107900,48800,55800,106000,120300,3011
3012,borden_farm_fisher_glen_3012,5855,105,4940,205,60,450,20,0,75,2335,0.71402439,0.012804878,0.602439024,0.025,0.007317073,0.054878049,0.002439024,0,0.009146341,0.284756098,25,0.064102564,0.3,6955,0.848170732,2330,0.284146341,245,0.215859031,120,375,570,440,200,270,0.060606061,0.189393939,0.287878788,0.222222222,0.101010101,0.136363636,570,940,345,55,70,0.287878788,0.474747475,0.174242424,0.027777778,0.035353535,1570,35,45,0.954407295,0.021276596,0.027355623,180,3805,3070,160,905,25,1980,1245,480,110,0.045112782,0.953634085,0.769423559,0.040100251,0.226817043,0.006265664,0.496240602,0.312030075,0.120300752,0.027568922,3790,55,0.014511873,2300,1950,845,1105,1,0.847826087,0.367391304,0.480434783,81000,91000,47200,48800,104000,114200,3012
3013,braemar_park_belair_heights_copeland_park_3013,5710,140,4760,220,55,430,45,0,60,3260,0.636211699,0.015598886,0.530362117,0.024512535,0.006128134,0.047910864,0.005013928,0,0.006685237,0.363231198,0,0,0.3,7765,0.864699332,2725,0.303452116,440,0.30877193,155,475,540,605,365,500,0.058712121,0.179924242,0.204545455,0.229166667,0.138257576,0.189393939,830,1205,360,140,105,0.314393939,0.456439394,0.136363636,0.053030303,0.039772727,2090,40,65,0.952164009,0.018223235,0.029612756,365,4465,3620,170,1205,60,2180,1405,550,95,0.075569358,0.924430642,0.749482402,0.035196687,0.249482402,0.01242236,0.451345756,0.290890269,0.113871636,0.019668737,3920,80,0.020408163,2390,2005,925,1080,1,0.838912134,0.387029289,0.451882845,79500,90900,45200,51400,100000,109900,3013
3014,bridlewood_emerald_meadows_3014,17620,430,14010,630,275,1820,275,0,180,8080,0.685603113,0.016731518,0.545136187,0.024513619,0.010700389,0.070817121,0.010700389,0,0.007003891,0.314396887,80,0.044077135,0.3,21715,0.844777281,7795,0.303248395,1725,0.272296764,370,1200,1810,1430,980,1110,0.053584359,0.173787111,0.262128892,0.207096307,0.14192614,0.160753077,1750,3070,1400,375,305,0.253439537,0.444605358,0.202751629,0.054308472,0.044170891,5720,210,100,0.948590381,0.034825871,0.016583748,520,13605,11655,365,3510,325,7455,4690,1960,380,0.036827195,0.963526912,0.825424929,0.025849858,0.248583569,0.023016997,0.527974504,0.332152975,0.138810198,0.026912181,8930,290,0.032474804,7540,6625,4155,2470,1,0.878647215,0.551061008,0.327586207,112000,123200,62400,64600,123000,133600,3014
3015,britannia_3015,5935,120,4415,155,105,955,75,0,110,2510,0.703199052,0.014218009,0.523104265,0.018364929,0.012440758,0.113151659,0.008886256,0,0.013033175,0.297393365,125,0.320512821,0.3,6820,0.808056872,2365,0.28021327,440,0.341085271,130,365,510,400,335,440,0.059633028,0.167431193,0.233944954,0.183486239,0.153669725,0.201834862,470,940,500,155,115,0.21559633,0.431192661,0.229357798,0.071100917,0.052752294,1720,25,55,0.952908587,0.013850416,0.030470914,520,3995,3090,240,820,85,1945,1140,575,80,0.115299335,0.885809313,0.685144124,0.053215078,0.181818182,0.018847007,0.431263858,0.252771619,0.127494457,0.017738359,4380,45,0.010273973,2080,1565,590,980,1,0.752403846,0.283653846,0.471153846,58800,69000,40800,46360,79000,89500,3015
3016,brookside_briarbrook_morgans_grant_3016,10605,200,6345,755,70,2945,150,0,140,4860,0.685077519,0.012919897,0.409883721,0.04877261,0.004521964,0.190245478,0.009689922,0,0.009043928,0.313953488,45,0.048387097,0.3,11710,0.756704362,4690,0.303069467,1100,0.250855188,140,705,930,800,700,600,0.036082474,0.181701031,0.239690722,0.206185567,0.180412371,0.154639175,1165,1415,820,230,260,0.300257732,0.364690722,0.211340206,0.059278351,0.067010309,3230,60,45,0.971428571,0.018045113,0.013533835,180,8225,7035,205,1605,155,5075,3005,1480,290,0.021415824,0.978584176,0.837001785,0.024390244,0.190957763,0.018441404,0.603807258,0.357525283,0.176085663,0.034503272,4955,285,0.057517659,4305,3715,2575,1140,1,0.862950058,0.598141696,0.264808362,112000,123700,66500,67800,123000,132200,3016
3017,cardinal_creek_3017,10185,40,8885,140,20,1035,25,0,40,2725,0.788923315,0.003098373,0.688226181,0.010844307,0.001549187,0.080170411,0.001936483,0,0.003098373,0.211076685,30,0.035928144,0.2,8580,0.664601084,7190,0.55693261,1805,0.560559006,225,750,1080,655,440,560,0.060565276,0.201884253,0.290713324,0.176312248,0.118438762,0.150740242,990,1350,820,295,255,0.266487214,0.363391655,0.220726783,0.079407806,0.068640646,3105,65,70,0.956856703,0.020030817,0.021571649,305,6765,5590,320,1950,215,3105,2110,655,135,0.043140028,0.956859972,0.790664781,0.045261669,0.275813296,0.030410184,0.439179632,0.29844413,0.092644979,0.019094767,4495,155,0.034482759,3735,3170,1955,1220,1,0.848728246,0.523427041,0.326639893,114000,124600,60800,63400,124000,136800,3017
3018,carleton_heights_courtland_park_3018,5175,130,3890,160,20,840,50,0,85,3015,0.631868132,0.015873016,0.474969475,0.01953602,0.002442002,0.102564103,0.006105006,0,0.01037851,0.368131868,65,0.185714286,0.3,6375,0.778388278,2335,0.285103785,430,0.362869198,95,350,625,500,360,475,0.039337474,0.144927536,0.258799172,0.207039337,0.149068323,0.196687371,575,1190,410,130,105,0.238095238,0.492753623,0.169772257,0.053830228,0.043478261,1930,75,45,0.941463415,0.036585366,0.02195122,370,3755,3080,120,785,70,2105,1295,505,145,0.089805825,0.911407767,0.747572816,0.029126214,0.190533981,0.016990291,0.51092233,0.314320388,0.122572816,0.035194175,3630,45,0.012396694,1950,1540,705,830,1,0.78974359,0.361538462,0.425641026,68500,89100,41600,47400,90000,109400,3018
3019,carleton_university_3019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3019
3020,carlington_3020,10020,380,7215,220,185,1750,75,0,195,5620,0.640051102,0.024273395,0.46087512,0.014053018,0.011817311,0.111785372,0.004790802,0,0.012456084,0.358990738,325,0.298165138,0.3,11880,0.758862983,4525,0.289045034,1035,0.319938176,225,775,1145,840,660,825,0.05044843,0.173766816,0.256726457,0.188340807,0.147982063,0.184977578,1280,2055,655,260,215,0.286995516,0.460762332,0.146860987,0.058295964,0.048206278,3590,70,125,0.948480845,0.018494055,0.033025099,1055,8075,6420,420,1735,200,4070,2430,1165,160,0.115553122,0.884446878,0.703176342,0.046002191,0.190032859,0.021905805,0.445783133,0.266155531,0.127601314,0.017524644,7105,145,0.020408163,3935,2950,1460,1480,1,0.749682338,0.371029225,0.376111817,62000,75900,37200,42960,87000,97500,3020
3021,carp_3021,4050,30,3680,40,40,110,80,0,70,2280,0.639305446,0.004735596,0.580899763,0.006314128,0.006314128,0.017363852,0.012628256,0,0.011049724,0.359905288,0,0,0.3,5950,0.939226519,1930,0.304656669,410,0.274247492,90,335,465,370,235,200,0.053097345,0.197640118,0.274336283,0.218289086,0.138643068,0.1179941,390,635,450,130,90,0.230088496,0.374631268,0.265486726,0.076696165,0.053097345,1255,90,10,0.92962963,0.066666667,0.007407407,85,3120,2645,140,810,55,1645,1120,320,40,0.026521061,0.973478939,0.825273011,0.043681747,0.252730109,0.017160686,0.51326053,0.349453978,0.099843994,0.012480499,2260,65,0.028761062,1925,1765,960,805,1,0.916883117,0.498701299,0.418181818,126000,152600,48000,58800,140000,170400,3021
3022,carson_grove_carson_meadows_3022,7655,90,6190,85,60,1145,0,0,85,2645,0.741763566,0.00872093,0.599806202,0.008236434,0.005813953,0.110949612,0,0,0.008236434,0.25629845,95,0.179245283,0.3,6260,0.606589147,5040,0.488372093,955,0.538028169,150,490,715,535,410,410,0.055452865,0.181146026,0.264325323,0.197781885,0.151571165,0.151571165,755,1090,515,195,145,0.279112754,0.402957486,0.19038817,0.072088725,0.053604436,2220,35,135,0.93081761,0.014675052,0.056603774,460,5040,3895,230,1200,95,2370,1420,595,145,0.0835604,0.915531335,0.707538601,0.0417802,0.217983651,0.017257039,0.430517711,0.257947321,0.10808356,0.026339691,4610,90,0.019522777,2820,2160,980,1175,1,0.765957447,0.34751773,0.416666667,75500,86400,45600,49520,97000,105500,3022
