3023,centrepointe_briargreen_3023,5795,130,3815,275,765,680,45,0,85,3305,0.636463482,0.014277869,0.419000549,0.030203185,0.084019769,0.074684239,0.004942339,0,0.00933553,0.36298737,30,0.075,0.3,7650,0.840659341,2645,0.290659341,390,0.24,105,300,665,615,420,345,0.042857143,0.12244898,0.271428571,0.251020408,0.171428571,0.140816327,735,1080,375,135,125,0.3,0.440816327,0.153061224,0.055102041,0.051020408,2015,35,45,0.95952381,0.016666667,0.021428571,185,4650,4050,120,910,75,2940,1670,870,115,0.038262668,0.961737332,0.837642192,0.024819028,0.188210962,0.015511892,0.608066184,0.345398139,0.179937952,0.023784902,3590,85,0.02367688,2590,2165,1130,1045,1,0.835907336,0.436293436,0.403474903,101000,118400,55600,55600,117000,136600,3023
3024,centretown_3024,15650,390,11920,455,550,1825,70,35,405,15710,0.499043367,0.012436224,0.380102041,0.014508929,0.017538265,0.058195153,0.002232143,0.001116071,0.012914541,0.500956633,210,0.225806452,0.4,26390,0.841652049,12855,0.409982459,690,0.31011236,355,1055,1840,2420,1585,1080,0.042565947,0.126498801,0.220623501,0.290167866,0.190047962,0.129496403,3020,3505,1155,350,310,0.362110312,0.420263789,0.138489209,0.041966427,0.037170264,7190,160,240,0.946675444,0.021066491,0.031599737,975,20415,17890,485,2945,330,14130,7555,4865,755,0.045592705,0.954641104,0.836567688,0.022679448,0.13771335,0.015431377,0.660743512,0.353285013,0.227495908,0.03530512,20335,35,0.00172117,6490,5760,1275,4480,1,0.88751926,0.196456086,0.690292758,62800,82000,48800,54550,96000,123800,3024
3025,chapel_hill_north_3025,8605,40,7345,110,30,1035,0,0,45,3150,0.732028924,0.003402807,0.624840493,0.00935772,0.002552105,0.088047639,0,0,0.003828158,0.267971076,40,0.061538462,0.3,8240,0.700978307,6395,0.54402382,1445,0.581488934,190,505,820,625,360,480,0.063651591,0.169179229,0.274706868,0.209380235,0.120603015,0.16080402,925,1200,570,160,135,0.309882747,0.40201005,0.190954774,0.05360134,0.045226131,2415,65,125,0.928846154,0.025,0.048076923,290,5750,4770,210,1260,130,3170,1940,840,100,0.048013245,0.951986755,0.789735099,0.034768212,0.208609272,0.021523179,0.524834437,0.321192053,0.139072848,0.016556291,4380,90,0.020547945,3565,3000,1565,1430,1,0.841514727,0.438990182,0.40112202,105000,122300,58800,62100,117000,135000,3025
3026,chapel_hill_south_3026,11195,150,9000,265,25,1490,195,0,70,3050,0.785889786,0.010530011,0.631800632,0.018603019,0.001755002,0.104598105,0.013689014,0,0.004914005,0.214110214,20,0.018867925,0.2,9040,0.634608635,7975,0.55984556,2170,0.634502924,200,770,1230,860,510,625,0.047675805,0.183551847,0.293206198,0.205005959,0.121573302,0.148986889,1030,2045,750,185,185,0.245530393,0.487485101,0.178784267,0.044100119,0.044100119,3235,75,175,0.928263989,0.021520803,0.050215208,275,7740,6445,315,1890,250,3990,2460,965,175,0.034310667,0.965689333,0.80411728,0.03930131,0.23580786,0.031191516,0.497816594,0.306924517,0.120399251,0.021834061,4860,200,0.041152263,4145,3610,2240,1360,1,0.87092883,0.540410133,0.328106152,117000,127000,64500,69000,128000,137000,3026
3027,chapman_mills_3027,8895,265,4735,695,70,2700,370,0,60,3310,0.729098361,0.021721311,0.388114754,0.056967213,0.005737705,0.221311475,0.030327869,0,0.004918033,0.271311475,75,0.084745763,0.2,8235,0.674723474,3105,0.254403933,670,0.202416918,185,660,855,650,535,620,0.052857143,0.188571429,0.244285714,0.185714286,0.152857143,0.177142857,610,1500,920,285,180,0.174285714,0.428571429,0.262857143,0.081428571,0.051428571,2785,75,65,0.952136752,0.025641026,0.022222222,370,6285,5335,210,1405,215,3500,2050,945,170,0.055597295,0.944402705,0.801652893,0.031555222,0.211119459,0.032306536,0.525920361,0.308039068,0.141998497,0.025544703,3780,235,0.062169312,3275,2830,1955,875,1,0.864122137,0.596946565,0.267175573,103000,112700,59200,57600,115000,121200,3027
3028,city_view_3028,4300,110,2925,490,90,390,220,0,75,2025,0.680379747,0.017405063,0.462816456,0.077531646,0.014240506,0.061708861,0.034810127,0,0.011867089,0.320411392,60,0.244897959,0.3,5140,0.812648221,1550,0.245059289,260,0.261306533,115,295,490,385,385,620,0.050438596,0.129385965,0.214912281,0.168859649,0.168859649,0.271929825,615,880,470,120,195,0.269736842,0.385964912,0.206140351,0.052631579,0.085526316,1705,40,60,0.947222222,0.022222222,0.033333333,250,2945,2305,85,670,75,1475,945,420,25,0.078125,0.9203125,0.7203125,0.0265625,0.209375,0.0234375,0.4609375,0.2953125,0.13125,0.0078125,2375,55,0.023157895,1460,1190,580,615,1,0.815068493,0.397260274,0.421232877,80000,95900,46400,45800,96000,111500,3028
3029,civic_hospital_3029,3065,55,2645,85,130,125,0,0,25,2510,0.549775785,0.009865471,0.474439462,0.015246637,0.023318386,0.022421525,0,0,0.004484305,0.450224215,20,0.06557377,0.4,5145,0.922043011,2395,0.42921147,305,0.291866029,35,190,335,380,165,130,0.028340081,0.153846154,0.271255061,0.307692308,0.133603239,0.105263158,515,465,190,25,40,0.417004049,0.376518219,0.153846154,0.020242915,0.032388664,1045,40,40,0.924778761,0.03539823,0.03539823,55,3040,2745,50,330,25,2335,1145,855,175,0.017741935,0.980645161,0.885483871,0.016129032,0.106451613,0.008064516,0.753225806,0.369354839,0.275806452,0.056451613,2525,0,0,1535,1390,630,760,1,0.905537459,0.410423453,0.495114007,102000,132800,51600,61300,138000,167400,3029
3030,colonnade_business_park_3030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3030
3031,constance_bay_3031,1240,0,1230,0,0,0,0,0,10,955,0.563636364,0,0.559090909,0,0,0,0,0,0.004545455,0.434090909,0,0,0.3,2110,0.959090909,440,0.2,65,0.178082192,80,210,195,75,65,90,0.111111111,0.291666667,0.270833333,0.104166667,0.090277778,0.125,35,125,240,255,65,0.048611111,0.173611111,0.333333333,0.354166667,0.090277778,470,35,0,0.930693069,0.069306931,0,150,1140,810,110,390,30,285,210,60,0,0.11627907,0.88372093,0.627906977,0.085271318,0.302325581,0.023255814,0.220930233,0.162790698,0.046511628,0,980,30,0.030612245,665,560,235,315,1,0.842105263,0.353383459,0.473684211,89000,95000,47200,55600,109000,111800,3031
3032,convent_glen_orleans_woods_3032,10240,90,9335,100,40,625,0,0,50,4150,0.711111111,0.00625,0.648263889,0.006944444,0.002777778,0.043402778,0,0,0.003472222,0.288194444,40,0.047904192,0.2,10850,0.753472222,7245,0.503125,1555,0.55141844,275,710,1065,710,435,520,0.074123989,0.191374663,0.287061995,0.191374663,0.117250674,0.140161725,1045,1600,670,190,205,0.281671159,0.431266846,0.180592992,0.051212938,0.055256065,2965,65,105,0.945773525,0.020733652,0.033492823,400,6780,5440,325,1945,110,3055,1920,735,140,0.055749129,0.944947735,0.758188153,0.045296167,0.271080139,0.01533101,0.425783972,0.267595819,0.102439024,0.019512195,5870,175,0.029812606,4470,3700,1720,1980,1,0.827740492,0.384787472,0.44295302,93000,103400,50400,53150,108000,118800,3032
3033,corkery_3033,2625,0,2495,30,15,70,15,0,0,1200,0.68537859,0,0.651436031,0.007832898,0.003916449,0.018276762,0.003916449,0,0,0.313315927,0,0,0.3,3690,0.964705882,945,0.247058824,235,0.274853801,115,250,315,210,150,150,0.096638655,0.210084034,0.264705882,0.176470588,0.12605042,0.12605042,235,485,265,110,95,0.197478992,0.407563025,0.222689076,0.092436975,0.079831933,805,110,0,0.875,0.119565217,0,65,2100,1640,140,685,30,790,505,195,10,0.030023095,0.969976905,0.757505774,0.064665127,0.316397229,0.013856813,0.364896074,0.233256351,0.090069284,0.004618938,1275,70,0.054901961,1210,1100,595,510,1,0.909090909,0.491735537,0.421487603,124000,136800,38400,51000,131000,145200,3033
3034,craig_henry_manordale_3034,6075,65,3930,205,570,1200,35,0,70,2590,0.701096365,0.007501443,0.453548759,0.023658396,0.065781881,0.138488171,0.004039238,0,0.008078477,0.298903635,105,0.196261682,0.3,7105,0.819965378,2235,0.257934218,515,0.269633508,125,415,630,435,305,480,0.052410901,0.174004193,0.264150943,0.182389937,0.1278826,0.201257862,605,1025,550,120,80,0.253668763,0.429769392,0.230607966,0.050314465,0.033542977,1795,45,30,0.959893048,0.024064171,0.016042781,455,3835,2940,170,1040,70,1655,1070,415,80,0.106060606,0.893939394,0.685314685,0.03962704,0.242424242,0.016317016,0.385780886,0.249417249,0.096736597,0.018648019,3120,100,0.032051282,2335,1860,1000,865,1,0.796573876,0.428265525,0.370449679,90000,100300,50800,55800,103000,111400,3034
3035,crestview_tanglewood_3035,5740,120,4550,210,80,645,55,0,80,2535,0.69407497,0.014510278,0.550181378,0.025392987,0.009673519,0.077992745,0.006650544,0,0.009673519,0.306529625,50,0.113636364,0.2,7055,0.852567976,2190,0.264652568,390,0.251612903,150,415,580,615,365,400,0.059288538,0.164031621,0.229249012,0.243083004,0.144268775,0.158102767,695,1165,445,120,110,0.274703557,0.460474308,0.175889328,0.04743083,0.043478261,1930,35,40,0.962593516,0.017456359,0.019950125,365,4055,3015,190,1000,110,1715,1145,395,70,0.082672707,0.918459796,0.682899207,0.043035108,0.226500566,0.024915062,0.388448471,0.259343148,0.089467724,0.01585504,3150,60,0.019047619,2150,1790,905,895,1,0.83255814,0.420930233,0.41627907,88000,94600,48400,51200,101000,108200,3035
3036,crystal_bay_lakeview_park_3036,2425,0,2100,30,105,180,10,0,0,1530,0.611601513,0,0.5296343,0.007566204,0.026481715,0.045397226,0.002522068,0,0,0.385876419,0,0,0.3,3645,0.919293821,1380,0.348045397,170,0.244604317,45,115,215,265,160,90,0.050561798,0.129213483,0.241573034,0.297752809,0.179775281,0.101123596,245,405,150,70,15,0.275280899,0.45505618,0.168539326,0.078651685,0.016853933,730,20,10,0.960526316,0.026315789,0.013157895,110,1925,1700,60,430,50,1170,635,370,105,0.054054054,0.945945946,0.835380835,0.029484029,0.211302211,0.024570025,0.574938575,0.312039312,0.181818182,0.051597052,1615,45,0.027863777,1215,1075,475,600,1,0.884773663,0.390946502,0.49382716,108000,120400,57600,69200,121000,134800,3036
3037,cumberland_3037,3295,0,3195,0,25,55,0,0,20,1115,0.748013621,0,0.725312145,0,0.005675369,0.012485812,0,0,0.004540295,0.253121453,0,0,0.3,3025,0.685941043,2635,0.597505669,550,0.674846626,110,220,435,305,115,165,0.081481481,0.162962963,0.322222222,0.225925926,0.085185185,0.122222222,230,535,460,85,45,0.17037037,0.396296296,0.340740741,0.062962963,0.033333333,945,80,35,0.891509434,0.075471698,0.033018868,130,2215,1735,145,690,60,840,545,190,35,0.055319149,0.942553191,0.738297872,0.061702128,0.293617021,0.025531915,0.357446809,0.231914894,0.080851064,0.014893617,1615,80,0.049535604,1425,1280,615,665,1,0.898245614,0.431578947,0.466666667,125000,130200,48000,58800,135000,141600,3037
3038,dunrobin_3038,3505,20,3150,55,35,130,70,15,30,2250,0.608506944,0.003472222,0.546875,0.009548611,0.006076389,0.022569444,0.012152778,0.002604167,0.005208333,0.390625,0,0,0.3,5195,0.901909722,1605,0.278645833,330,0.2578125,80,240,455,285,230,155,0.055555556,0.166666667,0.315972222,0.197916667,0.159722222,0.107638889,220,585,395,180,70,0.152777778,0.40625,0.274305556,0.125,0.048611111,1040,60,20,0.924444444,0.053333333,0.017777778,110,2910,2360,125,815,80,1340,810,365,25,0.036423841,0.963576159,0.781456954,0.041390728,0.26986755,0.026490066,0.443708609,0.268211921,0.120860927,0.008278146,2015,75,0.037220844,1755,1680,900,780,1,0.957264957,0.512820513,0.444444444,123000,141000,49200,56800,134000,154000,3038
3039,edwards_carlsbad_springs_3039,2070,0,1950,0,0,70,0,0,50,870,0.700507614,0,0.659898477,0,0,0.023688663,0,0,0.016920474,0.294416244,0,0,0.2,2440,0.827118644,1255,0.425423729,280,0.577319588,120,245,325,170,65,120,0.115384615,0.235576923,0.3125,0.163461538,0.0625,0.115384615,200,550,235,45,15,0.192307692,0.528846154,0.225961538,0.043269231,0.014423077,660,40,15,0.923076923,0.055944056,0.020979021,220,1440,965,120,495,55,300,195,55,0,0.13253012,0.86746988,0.581325301,0.072289157,0.298192771,0.03313253,0.180722892,0.11746988,0.03313253,0,1215,45,0.037037037,925,790,355,435,1,0.854054054,0.383783784,0.47027027,86000,95800,37600,45600,99000,109000,3039
3040,elmvale_canterbury_3040,5740,35,4815,30,45,745,0,0,70,2430,0.702140673,0.004281346,0.588990826,0.003669725,0.005504587,0.091131498,0,0,0.008562691,0.297247706,55,0.115789474,0.3,6690,0.818348624,3115,0.381039755,560,0.379661017,190,320,555,470,340,285,0.087962963,0.148148148,0.256944444,0.217592593,0.157407407,0.131944444,680,925,380,105,70,0.314814815,0.428240741,0.175925926,0.048611111,0.032407407,1800,40,30,0.965147453,0.021447721,0.016085791,325,4170,3340,210,1075,80,1980,1185,515,135,0.072302558,0.927697442,0.743047831,0.046718576,0.239154616,0.017797553,0.440489433,0.263626251,0.114571746,0.03003337,3590,45,0.012534819,2345,1930,915,1020,1,0.823027719,0.390191898,0.434968017,78500,90000,42000,48300,100000,108000,3040
3041,emerald_woods_sawmill_creek_3041,4620,30,2310,60,45,2105,60,0,10,985,0.823529412,0.005347594,0.411764706,0.010695187,0.00802139,0.375222816,0.010695187,0,0.001782531,0.175579323,200,0.481927711,0.3,3860,0.688057041,1435,0.255793226,305,0.24015748,85,275,360,270,195,275,0.058020478,0.187713311,0.245733788,0.184300341,0.133105802,0.187713311,415,655,230,85,80,0.283276451,0.447098976,0.156996587,0.058020478,0.054607509,1075,40,30,0.934782609,0.034782609,0.026086957,440,2340,1700,80,520,90,1010,635,265,35,0.157989228,0.84021544,0.610412926,0.028725314,0.186714542,0.032315978,0.362657092,0.228007181,0.095152603,0.012567325,2090,50,0.023923445,1430,1130,620,505,1,0.79020979,0.433566434,0.353146853,67500,76500,38400,43200,81000,89800,3041
3042,experimental_farm_3042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3042
3043,fallingbrook_3043,13710,115,12060,175,65,1150,25,0,120,4320,0.760399334,0.006378258,0.668885191,0.009706045,0.003605103,0.063782585,0.001386578,0,0.006655574,0.239600666,45,0.045226131,0.2,13015,0.721852468,9545,0.529395452,2025,0.530104712,250,1060,1345,1000,585,865,0.049067713,0.208047105,0.263984298,0.196270854,0.114818449,0.169774289,1205,1950,1265,340,335,0.236506379,0.382728165,0.24828263,0.06673209,0.065750736,4000,120,200,0.925925926,0.027777778,0.046296296,415,9475,7295,465,2495,190,4150,2780,955,115,0.041961577,0.958038423,0.737613751,0.047017189,0.252275025,0.019211325,0.419615774,0.281092012,0.096562184,0.011627907,6465,205,0.031709203,5455,4675,2610,2065,1,0.857011916,0.478460128,0.378551787,109000,118200,56800,59300,118000,129000,3043
3044,findlay_creek_3044,11410,250,6210,555,40,3990,245,0,120,2825,0.801264045,0.01755618,0.436095506,0.038974719,0.002808989,0.280196629,0.017205056,0,0.008426966,0.198384831,75,0.056603774,0.3,10670,0.749297753,4865,0.341643258,1440,0.345738295,155,750,1115,910,550,560,0.038366337,0.185643564,0.275990099,0.225247525,0.136138614,0.138613861,855,2090,810,140,150,0.211633663,0.517326733,0.20049505,0.034653465,0.037128713,3295,80,65,0.959243086,0.023289665,0.018922853,515,7285,6070,250,1590,185,4040,2535,1000,160,0.065983344,0.933376041,0.777706598,0.03203075,0.203715567,0.023702755,0.517616912,0.3247918,0.128122998,0.02049968,4390,235,0.053530752,3790,3280,2340,945,1,0.865435356,0.617414248,0.249340369,111000,118800,65000,65200,121000,127500,3044
3045,fisher_heights_3045,3040,90,2265,110,45,485,35,0,10,1335,0.694063927,0.020547945,0.517123288,0.025114155,0.010273973,0.110730594,0.007990868,0,0.002283105,0.304794521,85,0.265625,0.3,3695,0.843607306,1280,0.292237443,215,0.251461988,45,175,295,245,205,220,0.037974684,0.147679325,0.248945148,0.206751055,0.172995781,0.185654008,350,590,170,40,40,0.29535865,0.497890295,0.143459916,0.033755274,0.033755274,975,15,25,0.960591133,0.014778325,0.024630542,160,2125,1705,65,440,40,1155,725,280,85,0.070175439,0.932017544,0.747807018,0.028508772,0.192982456,0.01754386,0.506578947,0.317982456,0.122807018,0.037280702,1710,55,0.032163743,1195,1020,510,520,1,0.853556485,0.426778243,0.435146444,91000,102100,52400,63000,107000,114800,3045
3046,fitzroy_3046,2350,20,2275,0,20,0,0,0,35,1635,0.589711418,0.005018821,0.570890841,0,0.005018821,0,0,0,0.008782936,0.410288582,0,0,0.3,3925,0.986180905,880,0.221105528,140,0.197183099,170,410,325,230,80,125,0.126394052,0.304832714,0.241635688,0.171003717,0.059479554,0.092936803,205,295,470,260,115,0.152416357,0.219330855,0.349442379,0.19330855,0.085501859,930,195,10,0.81938326,0.171806167,0.008810573,150,2015,1390,170,680,45,505,365,80,20,0.069284065,0.930715935,0.642032333,0.07852194,0.31408776,0.020785219,0.233256351,0.168591224,0.036951501,0.009237875,1595,50,0.031347962,1300,1165,510,660,1,0.896153846,0.392307692,0.507692308,95000,114800,42800,45200,110000,130400,3046
3047,glebe_dows_lake_3047,6630,115,5640,50,375,245,35,10,160,6615,0.500377358,0.008679245,0.425660377,0.003773585,0.028301887,0.018490566,0.002641509,7.55E-04,0.012075472,0.499245283,20,0.041237113,0.3,12110,0.913617503,6115,0.461335345,565,0.279012346,95,295,840,1040,570,390,0.029320988,0.091049383,0.259259259,0.320987654,0.175925926,0.12037037,1280,1325,350,185,105,0.395061728,0.408950617,0.108024691,0.057098765,0.032407407,2715,60,145,0.929794521,0.020547945,0.049657534,160,6990,6430,125,785,55,5460,2800,1790,415,0.022393282,0.978306508,0.899930021,0.017494752,0.10986704,0.007697691,0.764170749,0.391882435,0.250524843,0.058082575,6425,40,0.006225681,3465,3075,1330,1755,1,0.887445887,0.383838384,0.506493506,89000,117400,53200,62650,128000,151800,3047
3048,glen_cairn_3048,8070,120,6575,290,40,910,85,0,50,4205,0.657969833,0.009783938,0.536078272,0.023644517,0.003261313,0.074194863,0.006930289,0,0.004076641,0.342845495,50,0.049751244,0.2,10715,0.873268134,2895,0.23594132,765,0.265164645,200,745,1000,685,430,585,0.054794521,0.204109589,0.273972603,0.187671233,0.117808219,0.160273973,1145,1455,685,180,175,0.31369863,0.398630137,0.187671233,0.049315068,0.047945205,2980,80,25,0.964401294,0.025889968,0.008090615,365,6545,5170,310,2085,125,2645,1815,555,95,0.052860246,0.947863867,0.748732802,0.044895004,0.301955105,0.018102824,0.383055757,0.262853005,0.080376539,0.013758146,4670,135,0.028907923,3640,3020,1695,1325,1,0.82967033,0.465659341,0.364010989,93000,97700,53200,56100,103000,108400,3048
3049,greely_3049,7555,35,6925,110,60,330,65,0,30,2990,0.716793169,0.003320683,0.657020873,0.010436433,0.0056926,0.031309298,0.006166983,0,0.0028463,0.283681214,0,0,0.3,9430,0.894686907,3750,0.355787476,795,0.326488706,220,620,960,585,350,370,0.071082391,0.200323102,0.310177706,0.18901454,0.113085622,0.119547658,640,1160,1000,195,100,0.206785137,0.374798061,0.323101777,0.063004847,0.032310178,2385,135,55,0.926213592,0.052427184,0.021359223,360,5375,4325,325,1395,145,2465,1465,655,105,0.06271777,0.93641115,0.753484321,0.056620209,0.243031359,0.025261324,0.429442509,0.255226481,0.114111498,0.018292683,3585,145,0.040446304,3230,2940,1650,1290,1,0.910216718,0.510835913,0.399380805,128000,139000,45200,53200,137000,150400,3049
3050,greenbelt_east_3050,145,0,145,0,0,0,0,0,0,120,0.537037037,0,0.537037037,0,0,0,0,0,0,0.444444444,0,NA,0.3,245,0.907407407,60,0.222222222,15,0.375,0,20,20,15,15,0,0,0.25,0.25,0.1875,0.1875,0,10,35,25,10,0,0.125,0.4375,0.3125,0.125,0,30,0,0,0.857142857,0,0,40,130,85,10,30,0,45,40,0,0,0.242424242,0.787878788,0.515151515,0.060606061,0.181818182,0,0.272727273,0.242424242,0,0,110,0,0,75,75,35,45,1,1,0.466666667,0.6,71000,79000,NA,36000,80000,88000,3050
3051,greenbelt_west_3051,70,0,70,0,0,0,0,0,0,60,0.466666667,0,0.466666667,0,0,0,0,0,0,0.4,NA,NA,NA,100,0.689655172,15,0.103448276,0,0,0,10,10,0,0,0,0,0.333333333,0.333333333,0,0,0,0,15,15,0,0,0,0.5,0.5,0,0,20,0,0,1,0,0,30,65,30,15,10,0,10,0,0,0,0.315789474,0.684210526,0.315789474,0.157894737,0.105263158,0,0.105263158,0,0,0,55,10,0.181818182,40,30,20,0,1,0.75,0.5,0,NA,NA,NA,NA,NA,NA,3051
3052,greenboro_east_3052,4865,55,3200,55,50,1470,35,0,0,1305,0.787854251,0.008906883,0.518218623,0.008906883,0.008097166,0.23805668,0.005668016,0,0,0.211336032,80,0.213333333,0.3,4580,0.741700405,2105,0.340890688,440,0.35059761,80,285,515,405,285,375,0.041131105,0.146529563,0.264781491,0.208226221,0.146529563,0.192802057,575,910,345,55,55,0.29562982,0.467866324,0.177377892,0.028277635,0.028277635,1580,30,20,0.966360856,0.018348624,0.012232416,295,3195,2520,105,750,90,1565,1015,350,80,0.084648494,0.916786227,0.723098996,0.030129125,0.215208034,0.025824964,0.449067432,0.291248207,0.100430416,0.022955524,2245,115,0.051224944,1675,1315,820,495,1,0.785074627,0.489552239,0.295522388,89000,99000,49200,50800,109000,114800,3052
3053,greenboro_west_3053,4030,45,2555,55,35,1285,30,0,25,1415,0.740128558,0.008264463,0.469237833,0.01010101,0.006427916,0.235996327,0.005509642,0,0.004591368,0.259871442,25,0.083333333,0.3,4055,0.744719927,1790,0.328741965,330,0.277310924,55,220,385,355,205,345,0.035031847,0.140127389,0.24522293,0.22611465,0.130573248,0.219745223,390,730,265,110,65,0.248407643,0.464968153,0.168789809,0.070063694,0.041401274,1270,15,40,0.958490566,0.011320755,0.030188679,275,2670,2010,80,615,90,1230,805,255,50,0.093378608,0.906621392,0.682512733,0.027164686,0.208828523,0.030560272,0.417657046,0.273344652,0.086587436,0.016977929,1960,75,0.038265306,1540,1090,635,460,1,0.707792208,0.412337662,0.298701299,89000,94800,54400,60200,97000,102300,3053
3054,hawthorn_meadows_sheffield_glen_3054,5265,75,3800,95,20,1215,30,0,30,1495,0.77827051,0.011086475,0.561714708,0.014042868,0.002956393,0.179600887,0.00443459,0,0.00443459,0.220990392,120,0.242424242,0.3,4735,0.69992609,2305,0.340724316,660,0.476534296,165,385,585,385,240,515,0.072687225,0.169603524,0.257709251,0.169603524,0.105726872,0.226872247,665,920,415,110,155,0.292951542,0.405286344,0.182819383,0.04845815,0.068281938,1835,35,15,0.973474801,0.018567639,0.00795756,645,3220,2350,190,955,95,1105,695,260,70,0.166882277,0.833117723,0.608020699,0.04915912,0.247089263,0.02457956,0.285899094,0.179818887,0.067270375,0.018111255,2920,70,0.023972603,1600,1195,650,545,1,0.746875,0.40625,0.340625,60800,68600,33200,36800,83000,89500,3054
